1.4,0.2002
1.405,0.2044
1.41,0.2085
1.415,0.2128
1.42,0.217
1.425,0.2213
1.43,0.2257
1.435,0.2298
1.44,0.2342
1.445,0.2387
1.45,0.2431
1.455,0.2472
1.46,0.2516
1.465,0.256
1.47,0.2605
1.475,0.265
1.48,0.2695
1.485,0.274
1.49,0.2772
1.495,0.2814
1.5,0.2855
1.505,0.2899
1.51,0.2926
1.515,0.2969
1.52,0.3008
1.525,0.3038
1.53,0.3083
1.535,0.313
1.54,0.3165
1.545,0.3213
1.55,0.3261
1.555,0.3296
1.56,0.3344
1.565,0.3379
1.57,0.3428
1.575,0.3463
1.58,0.3514
1.585,0.355
1.59,0.3601
1.595,0.3638
1.6,0.3689
1.605,0.3726
1.61,0.3762
1.615,0.3812
1.62,0.3844
1.625,0.3874
1.63,0.3895
1.635,0.3914
1.64,0.3952
1.645,0.4003
1.65,0.404
1.655,0.4077
1.66,0.4128
1.665,0.4165
1.67,0.4201
1.675,0.4237
1.68,0.4271
1.685,0.4317
1.69,0.435
1.695,0.4382
1.7,0.441
1.705,0.4437
1.71,0.4461
1.715,0.4485
1.72,0.4499
1.725,0.4507
1.73,0.4507
1.735,0.4502
1.74,0.4493
1.745,0.4482
1.75,0.4468
1.755,0.4454
1.76,0.4438
1.765,0.4422
1.77,0.4405
1.775,0.4388
1.78,0.4369
1.785,0.4352
1.79,0.4334
1.795,0.4316
1.8,0.43
1.805,0.4285
1.81,0.4263
1.815,0.4257
1.82,0.4234
1.825,0.4212
1.83,0.4188
1.835,0.4165
1.84,0.4141
1.845,0.4134
1.85,0.411
1.855,0.4085
1.86,0.4061
1.865,0.4037
1.87,0.4029
1.875,0.4005
1.88,0.398
1.885,0.3957
1.89,0.3951
1.895,0.3928
1.9,0.3903
1.905,0.3878
1.91,0.387
1.915,0.3845
1.92,0.3819
1.925,0.381
1.93,0.3783
1.935,0.3757
1.94,0.3747
1.945,0.372
1.95,0.3694
1.955,0.3684
1.96,0.3658
1.965,0.3632
1.97,0.3623
1.975,0.3597
1.98,0.3587
1.985,0.3561
1.99,0.3551
1.995,0.3524
2,0.3496
2.005,0.3485
2.01,0.3458
2.015,0.3448
2.02,0.342
2.025,0.3409
2.03,0.3381
2.035,0.337
2.04,0.3342
2.045,0.333
2.05,0.3302
2.055,0.329
2.06,0.3262
2.065,0.3251
2.07,0.3223
2.075,0.3211
2.08,0.32
2.085,0.3172
2.09,0.3161
2.095,0.3132
2.1,0.3122
2.105,0.3095
2.11,0.3083
2.115,0.3071
2.12,0.3041
2.125,0.3028
2.13,0.3016
2.135,0.2985
2.14,0.2973
2.145,0.2962
2.15,0.2932
2.155,0.292
2.16,0.2908
2.165,0.2877
2.17,0.2865
2.175,0.2853
2.18,0.2823
2.185,0.281
2.19,0.2798
2.195,0.2768
2.2,0.2755
