Day	Total_Solar_Wind	Total_Others	Total_Generation	Percentage	Price_max	Price_mean	Price_min
1	239071	351653	590724	40.470845944976	66.6	52.12	40.53
2	149282.3	353178.1	502460.4	29.7102617440101	60.67	51	35
3	280463.8	329033.2	609497	46.0156161556169	53.2	35.18	3
4	285375.7	320737.8	606113.5	47.0828813415309	47.45	27.74	0.9
5	220580	323193.2	543773.2	40.564706020819	60.68	44.55	31.9
6	344823.6	343711.5	688535.1	50.0807584101377	69.01	55.97	43.93
7	303561.4	395113.9	698675.3	43.4481367811342	86.99	66.11	58
8	215922.7	446585.6	662508.3	32.5916973417541	81.77	69.78	57
9	168050	466922.6	634972.6	26.4657089140539	86.48	71.87	58.12
10	124371.1	380211.5	504582.6	24.6483132791341	73.82	65.01	55.07
11	271643.8	328869.5	600513.3	45.2352678949825	67.2	52.01	34.84
12	319773.9	359379.4	679153.3	47.0842002829111	78.74	63.04	49.6
13	160002.9	487564.1	647567	24.7083158962702	88.32	75.5	62.36
14	169615.8	479174.1	648789.9	26.1434094458006	88.41	73.96	61.97
15	250248.8	434089.6	684338.4	36.5679903392824	78	68.19	59.18
16	325726.2	374490	700216.2	46.5179468855476	80	68.93	53.66
17	323643.5	328019.2	651662.7	49.6642664986043	78.47	64.19	50.72
18	229976.8	332778.8	562755.6	40.8661948455066	82.51	64.54	51.34
19	149283.3	499158.9	648442.2	23.0218360248608	89.5	79.03	65.16
20	121229.6	506328	627557.6	19.3176849423862	93.92	78.58	66.01
21	105778.3	495071.7	600850	17.6047765665307	92.62	79.6	67.3
22	145317.9	453086.4	598404.3	24.2842339201105	85.93	74.41	65.16
23	238848	368281.7	607129.7	39.3405231205128	83.73	68.56	51.24
24	281384.9	301791	583175.9	48.2504335312896	77	57.31	32.07
25	200064.9	317425.8	517490.7	38.6605788277934	88.09	61.09	50
26	122895.5	449151.4	572046.9	21.4834657787674	86.01	75.99	66.36
27	128483	459191.5	587674.5	21.8629530462867	85.32	77.95	66.36
28	150992.6	464159.9	615152.5	24.5455557768196	85.57	74.4	59.18
29	165989.7	436341.4	602331.1	27.5578830314423	86.7	74.67	65
30	148417.5	447271.9	595689.4	24.9152494571836	90	79.29	67.5
