load	PV	bat_in	bat_out	exported
0.8841	0.0000	0.0000	0.8841	0.0000
0.8004	0.0000	0.0000	0.8004	0.0000
0.7501	0.0000	0.0000	0.7501	0.0000
0.6963	0.0000	0.0000	0.6963	0.0000
0.6608	0.0000	0.0000	0.6608	0.0000
0.7024	0.0595	0.0000	0.7024	0.0000
0.7409	0.2968	0.0000	0.7409	0.0000
0.8671	0.7899	0.0000	0.8671	0.0000
1.0033	1.3120	-0.1793	1.0033	-0.1793
1.1467	1.7911	-0.2378	1.1467	-0.5160
1.1967	2.1182	0.0000	1.1967	-0.7731
1.2457	2.3053	0.0000	1.2457	-0.9003
1.2870	2.3369	0.0000	1.2870	-0.8914
1.2800	2.2399	0.0000	1.2800	-0.8258
1.2327	1.9958	-0.2966	1.2327	-0.6498
1.2193	1.6089	-0.3168	1.2193	-0.3168
1.2396	1.1332	0.0000	1.2396	0.0000
1.2538	0.6098	0.0000	1.2538	0.0000
1.1811	0.1260	0.0000	1.1811	0.0000
1.1200	0.0051	0.0000	0.9010	0.0000
1.2726	0.0000	0.0000	0.9226	0.0000
1.3851	0.0000	0.0000	0.9401	0.0000
1.2737	0.0000	0.0000	1.0731	0.0000
1.0941	0.0000	0.0000	1.0941	0.0000
