wavelength (nm),QE
300,2.01E-01
305,2.40E-01
310,2.75E-01
315,2.96E-01
320,3.18E-01
325,3.56E-01
330,3.86E-01
335,3.99E-01
340,4.04E-01
345,4.22E-01
350,4.64E-01
355,4.84E-01
360,5.05E-01
365,5.34E-01
370,5.46E-01
375,5.73E-01
380,5.94E-01
385,6.28E-01
390,6.67E-01
395,6.83E-01
400,7.19E-01
405,7.35E-01
410,7.60E-01
415,7.84E-01
420,7.99E-01
425,8.09E-01
430,8.19E-01
435,8.29E-01
440,8.29E-01
445,8.45E-01
450,8.51E-01
455,8.62E-01
460,8.63E-01
465,8.73E-01
470,8.75E-01
475,8.87E-01
480,8.86E-01
485,9.00E-01
490,9.05E-01
495,9.07E-01
500,9.10E-01
505,9.17E-01
510,9.16E-01
515,9.24E-01
520,9.27E-01
525,9.31E-01
530,9.36E-01
535,9.41E-01
540,9.29E-01
545,9.39E-01
550,9.46E-01
555,9.45E-01
560,9.48E-01
565,9.47E-01
570,9.48E-01
575,9.47E-01
580,9.49E-01
585,9.49E-01
590,9.47E-01
595,9.51E-01
600,9.50E-01
605,9.44E-01
610,9.43E-01
615,9.43E-01
620,9.44E-01
625,9.44E-01
630,9.46E-01
635,9.47E-01
640,9.49E-01
645,9.49E-01
650,9.46E-01
655,9.45E-01
660,9.48E-01
665,9.47E-01
670,9.48E-01
675,9.47E-01
680,9.49E-01
685,9.49E-01
690,9.47E-01
695,9.49E-01
700,9.46E-01
705,9.45E-01
710,9.49E-01
715,9.45E-01
720,9.40E-01
725,9.46E-01
730,9.44E-01
735,9.43E-01
740,9.41E-01
745,9.37E-01
750,9.41E-01
755,9.35E-01
760,9.35E-01
765,9.39E-01
770,9.29E-01
775,9.28E-01
780,9.24E-01
785,9.24E-01
790,9.19E-01
795,9.28E-01
800,9.20E-01
805,9.17E-01
810,9.19E-01
815,9.17E-01
820,9.12E-01
825,9.05E-01
830,8.98E-01
835,9.06E-01
840,8.97E-01
845,8.88E-01
850,8.89E-01
855,8.84E-01
860,8.73E-01
865,8.69E-01
870,8.65E-01
875,8.55E-01
880,8.50E-01
885,8.47E-01
890,8.30E-01
895,8.23E-01
900,8.16E-01
905,8.12E-01
910,8.03E-01
915,7.94E-01
920,7.80E-01
925,7.78E-01
930,7.52E-01
935,7.33E-01
940,7.26E-01
945,7.07E-01
950,6.93E-01
955,6.79E-01
960,6.61E-01
965,6.46E-01
970,6.29E-01
975,6.03E-01
980,5.82E-01
985,5.73E-01
990,5.52E-01
995,5.29E-01
1000,5.06E-01
1005,4.89E-01
1010,4.71E-01
1015,4.53E-01
1020,4.37E-01
1025,4.24E-01
1030,4.12E-01
1035,3.97E-01
1040,3.78E-01
1045,3.63E-01
1050,3.51E-01
1055,3.35E-01
1060,3.12E-01
1065,3.05E-01
1070,2.86E-01
1075,2.73E-01
1080,2.61E-01
1085,2.49E-01
1090,2.32E-01
1095,2.16E-01
1100,2.04E-01
1105,1.95E-01
1110,1.82E-01
1115,1.68E-01
1120,1.54E-01
1125,1.38E-01
1130,1.22E-01
1135,1.12E-01
1140,9.67E-02
1145,8.25E-02
1150,7.10E-02
1155,5.91E-02
1160,4.61E-02
1165,3.82E-02
1170,2.83E-02
1175,1.65E-02
1180,9.20E-03
1185,5.69E-03
1190,3.72E-03
1195,2.95E-03
1200,2.76E-03
